Time (s),W,X,Y,Z
4.919836521,0.8668265,0.07328971,-0.4480337,-0.1978231
4.939654350,0.8660823,0.072252,-0.4504592,-0.1959469
4.959473133,0.8660602,0.07205378,-0.4491894,-0.1990087
4.979290962,0.8648002,0.07270384,-0.450215,-0.2019135
4.999109268,0.8622925,0.07335234,-0.4530492,-0.2060226
5.018927097,0.8600097,0.07766946,-0.4536845,-0.2124825
5.038744926,0.8585133,0.08452333,-0.4502953,-0.2228735
5.058563232,0.8587691,0.09221072,-0.442601,-0.2339761
5.078381062,0.8650758,0.09577855,-0.4257815,-0.2404328
5.098199844,0.8776162,0.09530634,-0.3942335,-0.2488255
5.118017674,0.8862169,0.09096833,-0.3702572,-0.2566741
5.137835979,0.8923025,0.08685455,-0.3565051,-0.256485
5.157653809,0.8956829,0.08524983,-0.3479444,-0.2569958
5.179949760,0.898642,0.08235808,-0.3374594,-0.2615502
5.199767590,0.9032255,0.07697233,-0.3255191,-0.262534
5.219585896,0.9091437,0.07166582,-0.3120179,-0.259989
5.239403725,0.9133921,0.06779775,-0.301212,-0.2588771
5.259222031,0.916603,0.06462205,-0.2919982,-0.2588973
5.279039860,0.9203945,0.06001169,-0.2812876,-0.2584136
5.298858643,0.9230906,0.05577906,-0.2724359,-0.2592273
5.318676472,0.9240441,0.05447955,-0.2672305,-0.2615148
5.338494778,0.9247094,0.05375811,-0.2641332,-0.2624577
5.358312607,0.9263002,0.05090244,-0.2606163,-0.2609288
5.378130913,0.928152,0.0469824,-0.2550778,-0.2605558
5.397948742,0.928658,0.04437099,-0.2505937,-0.2635449
5.417767525,0.9290687,0.04248833,-0.2462846,-0.266454
5.437585354,0.9301692,0.03977014,-0.2420008,-0.2669585
5.459880352,0.9326385,0.03546053,-0.2353922,-0.2648514
5.479698658,0.9344352,0.03315691,-0.2294101,-0.2640643
5.499516487,0.9348882,0.03256965,-0.2254794,-0.2659136
5.519334793,0.9356645,0.03095743,-0.2224466,-0.2659297
5.539152622,0.9379348,0.02707421,-0.2166608,-0.263118
5.558971405,0.9398946,0.02473901,-0.2096686,-0.2620168
5.578789234,0.9411385,0.02463042,-0.2033009,-0.2625796
5.598607540,0.9425011,0.02505408,-0.196152,-0.2630891
5.618425369,0.9438754,0.0241913,-0.1890213,-0.2634625
5.638243675,0.9453346,0.02253287,-0.1814694,-0.263688
5.658061505,0.9461325,0.02265191,-0.1753617,-0.2649454
5.677880287,0.946164,0.02540321,-0.1699335,-0.2681022
5.697698116,0.9465207,0.02595182,-0.1652347,-0.2697225
5.717516422,0.9474894,0.02424866,-0.160296,-0.2694597
5.739811421,0.9484094,0.02357119,-0.1545869,-0.269619
5.759630203,0.9484677,0.02348924,-0.1509709,-0.271464
5.779448032,0.9480387,0.02355054,-0.1478811,-0.2746398
5.799266338,0.9479626,0.02326792,-0.1441512,-0.2769004
5.819084167,0.9477846,0.02124403,-0.1409018,-0.2793338
5.838902473,0.9470839,0.02011819,-0.1385608,-0.2829418
5.858720303,0.9456304,0.02078508,-0.1375844,-0.2881827
5.878539085,0.9445887,0.02152245,-0.1359129,-0.2923088
5.898356914,0.9449214,0.0206412,-0.1314987,-0.2933142
5.918175220,0.9456598,0.01871246,-0.1251806,-0.293828
5.937993050,0.9453859,0.01907693,-0.1202024,-0.29675
5.957811356,0.94498,0.0213898,-0.1154706,-0.2997488
5.977629185,0.9452282,0.02241404,-0.1112156,-0.3004997
5.999925137,0.9455013,0.0229784,-0.1058146,-0.3015465
6.019742966,0.9447858,0.02402406,-0.102891,-0.3047029
6.039561272,0.9438272,0.02426943,-0.1018813,-0.3079759
6.059379101,0.9436698,0.023879,-0.09944125,-0.3092836
6.079197884,0.9442196,0.02416904,-0.09557199,-0.3088024
6.099015713,0.9451545,0.02402511,-0.09124412,-0.3072584
6.118834019,0.9462385,0.02306773,-0.08700056,-0.3052202
6.138651848,0.9469247,0.02266615,-0.08287087,-0.3042696
6.158470154,0.9467738,0.0232052,-0.08090154,-0.3052269
6.178287983,0.946161,0.02383453,-0.08153756,-0.3069049
6.198106766,0.9460943,0.02281857,-0.0815903,-0.3071733
6.217924595,0.9459445,0.02072549,-0.08039948,-0.3080958
