Time (s),Roll (deg),Pitch (deg),Yaw (deg)
6.098275661,0.1902407,0.009411023,-162.2278
6.120568752,0.1899674,0.008297242,-162.2257
6.140384197,0.1890439,0.00887472,-162.2227
6.160200119,0.1891131,0.009102841,-162.2203
6.180016041,0.1893671,0.009071078,-162.2178
6.199831963,0.1905883,0.008115916,-162.2158
6.219647408,0.1923198,0.007734322,-162.2213
6.239463329,0.1901942,0.007213506,-162.2255
6.259279251,0.1912254,0.006492328,-162.2296
6.279095173,0.1920831,0.006066709,-162.2331
6.298911095,0.1910627,0.007189984,-162.2382
6.318726540,0.1920444,0.008702741,-162.242
6.338542461,0.1923816,0.007819002,-162.246
6.358358383,0.191793,0.00866241,-162.2425
6.378174305,0.1928109,0.008018895,-162.2314
6.400466442,0.1934106,0.007011503,-162.2189
6.420282364,0.1947233,0.00791857,-162.2186
6.440098286,0.1953959,0.008342128,-162.2176
6.459914208,0.1965281,0.006989118,-162.2117
6.479729653,0.1979894,0.007668895,-162.2013
6.499545574,0.1982665,0.008133838,-162.1919
6.519361496,0.1984712,0.00779636,-162.2047
6.539177418,0.1979871,0.006090184,-162.216
6.558992863,0.1990279,0.004816944,-162.2226
6.578808785,0.1981664,0.005238872,-162.2177
6.598624706,0.1966737,0.004922472,-162.2133
6.618440628,0.1958694,0.006141351,-162.215
6.638256550,0.1967504,0.006293379,-162.2203
6.660549641,0.1952682,0.005724969,-162.2251
6.680365086,0.1937133,0.005859452,-162.2289
6.700181008,0.1930329,0.005369616,-162.2334
6.719996929,0.1926282,0.004829127,-162.2347
6.739812851,0.1923913,0.00522223,-162.2344
6.759628296,0.1922116,0.005411878,-162.2347
6.779444218,0.1901323,0.005716041,-162.2342
6.799260140,0.1899594,0.006362268,-162.2337
6.819076061,0.1900516,0.006710771,-162.2394
6.838891983,0.188749,0.006124595,-162.2479
6.858707428,0.1894449,0.006433825,-162.2543
6.878523350,0.190662,0.005515715,-162.2532
6.898339272,0.1916862,0.006481112,-162.2524
6.918155194,0.1931028,0.00619239,-162.2487
6.940448284,0.1939702,0.005904432,-162.246
6.960263729,0.1928869,0.006257104,-162.2452
6.980079651,0.1931711,0.005651792,-162.2465
6.999895573,0.1925599,0.006474446,-162.2464
7.019711494,0.1911422,0.005915127,-162.2413
7.039526939,0.1912499,0.005907323,-162.2318
7.059342861,0.191181,0.004274801,-162.2253
7.079158783,0.1902523,0.003812659,-162.2321
7.098974705,0.1922283,0.002398787,-162.2376
7.118790627,0.1921818,0.0008911562,-162.2378
7.138606072,0.1915843,0.001010037,-162.2349
7.158421993,0.1902328,0.002187885,-162.233
7.178237915,0.1891243,-0.0001644815,-162.2372
7.200531006,0.188642,0.001114998,-162.2417
7.220346928,0.188388,0.001349846,-162.2457
7.240162373,0.1853467,0.001282712,-162.2488
7.259978294,0.1855144,0.001369503,-162.2511
7.279794216,0.1828981,0.000889527,-162.2498
7.299610138,0.1826937,-0.0002019375,-162.2457
7.319426060,0.1806815,0.001851693,-162.244
7.339241505,0.1808838,0.001321943,-162.2419
7.359057427,0.1780414,0.000245038,-162.2414
7.378873348,0.1775161,-0.000140259,-162.2524
7.398689270,0.1752423,0.002239875,-162.265
7.418504715,0.17382,0.002645653,-162.2707
7.438320637,0.1730083,0.003899253,-162.2687
7.458136559,0.1731868,0.0007060975,-162.2668
7.480429649,0.1717107,0.0009561848,-162.2705
7.500245571,0.169773,0.001280671,-162.2741
7.520061493,0.1685186,0.000581153,-162.278
7.539876938,0.1679911,0.001575441,-162.2813
7.559692860,0.1657896,0.003282459,-162.2857
7.579508782,0.1660361,0.004450432,-162.2757
7.599324703,0.1671943,0.004740296,-162.264
7.619140148,0.1674426,0.004355473,-162.2599
